id;id_user;id_term;contrast_text;event_stamp
"cnt_4de6a2f38a5ed";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"long recall";"2011-06-01 20:37:07"
"cnt_4de6a334313b1";"usr_4de5345b3b6a8";"tsk_4a57abb949900";"recognition trial";"2011-06-01 20:38:12"
"cnt_4de6ad74bd885";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"same images";"2011-06-01 21:21:56"
"cnt_4de6add395167";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"novel images";"2011-06-01 21:23:31"
"cnt_4de6ae3e231dd";"usr_4de5345b3b6a8";"tsk_4a57abb949912";"novel images with noise";"2011-06-01 21:25:18"
"cnt_4de6b5d032f89";"usr_4de5345b3b6a8";"trm_4d54b2cc0f943";"probability of reward * magnitude of bet";"2011-06-01 21:57:36"
"cnt_4de6b69d1e765";"usr_4de5345b3b6a8";"trm_4d54b2cc0f943";"ratio";"2011-06-01 22:01:01"
"cnt_4de6b87a44743";"usr_4de5345b3b6a8";"tsk_4a57abb949923";"total correct responses for all categories";"2011-06-01 22:08:58"
"cnt_4de6bfac7a994";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"stimulus";"2011-06-01 22:39:40"
"cnt_4de6bfdf5905a";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"non-stimulus";"2011-06-01 22:40:31"
"cnt_4de6c00e51eda";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"right hand";"2011-06-01 22:41:18"
"cnt_4de6c02033259";"usr_4de5345b3b6a8";"tsk_4a57abb949934";"left hand";"2011-06-01 22:41:36"
"cnt_4de6c3b459269";"usr_4de5345b3b6a8";"tsk_4a57abb949879";"response to first stimulus";"2011-06-01 22:56:52"
"cnt_4de6c3c82d46d";"usr_4de5345b3b6a8";"tsk_4a57abb949879";"magnitude of response to second stimulus";"2011-06-01 22:57:12"
"cnt_4de6c5f53e708";"usr_4de5345b3b6a8";"trm_4d55a2bbcfdff";"risky option";"2011-06-01 23:06:29"
"cnt_4de6c62e9b5da";"usr_4de5345b3b6a8";"trm_4d55a2bbcfdff";"non-risky option";"2011-06-01 23:07:26"
"cnt_4de6c84f74508";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"conditional stimulus";"2011-06-01 23:16:31"
"cnt_4de6c945846f2";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"unconditional response";"2011-06-01 23:20:37"
"cnt_4de6c9842dbbe";"usr_4de5345b3b6a8";"trm_4c898acd1f28e";"conditional response";"2011-06-01 23:21:40"
"cnt_4de6d03ae67ac";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"formulating sentences subtest";"2011-06-01 23:50:18"
"cnt_4de6d066cb97a";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"recalling sentences subtest";"2011-06-01 23:51:02"
"cnt_4de6d0d5790a3";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"sentence structure subtest";"2011-06-01 23:52:53"
"cnt_4de6d1194349d";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"concepts and directions subtest";"2011-06-01 23:54:01"
"cnt_4de6d1650c739";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"word classes subtest";"2011-06-01 23:55:17"
"cnt_4de6d2747197f";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"word structure subtest";"2011-06-01 23:59:48"
"cnt_4de6d30243eb5";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"standard deviation";"2011-06-02 00:02:10"
"cnt_4de6d42855dcd";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"semantic relationships subtest";"2011-06-02 00:07:04"
"cnt_4de6d45dd9ceb";"usr_4de5345b3b6a8";"tsk_4a57abb9499a8";"sentence assembly subtest";"2011-06-02 00:07:57"
"cnt_4de7b92a0ce43";"usr_4de5345b3b6a8";"tsk_4a57abb9499b8";"accuracy";"2011-06-02 16:24:10"
"cnt_4de7c5b19456f";"usr_4de5345b3b6a8";"tsk_4a57abb9499c7";"number of false positives";"2011-06-02 17:17:37"
"cnt_4de7c5df194ea";"usr_4de5345b3b6a8";"tsk_4a57abb9499c7";"number of false negatives (missed words)";"2011-06-02 17:18:23"
"cnt_4de7c6ae5a2a1";"usr_4de5345b3b6a8";"tsk_4a57abb9499c7";"number of correct identifications";"2011-06-02 17:21:50"
"cnt_4de7d07b4366d";"usr_4de5345b3b6a8";"trm_4c898b29660b0";"hit rate (number of correct recognitions)";"2011-06-02 18:03:39"
"cnt_4de7d0972591c";"usr_4de5345b3b6a8";"trm_4c898b29660b0";"false alarm rate (number of incorrect recognitions)";"2011-06-02 18:04:07"
"cnt_4de7d0b31ce2e";"usr_4de5345b3b6a8";"trm_4c898b29660b0";"miss rate (number of items subject failed to recognize)";"2011-06-02 18:04:35"
"cnt_4de7d854ceb50";"usr_4de5345b3b6a8";"tsk_4a57abb9499d5";"number or value of rewards times probability of reward";"2011-06-02 18:37:08"
"cnt_4de7d90024fe4";"usr_4de5345b3b6a8";"tsk_4a57abb9499d5";"money earned";"2011-06-02 18:40:00"
"cnt_4de7d90ca34da";"usr_4de5345b3b6a8";"tsk_4a57abb9499d5";"probability of highest reward";"2011-06-02 18:40:12"
"cnt_4de7dc695fabb";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"hider";"2011-06-02 18:54:33"
"cnt_4de7dcca346d1";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"guesser";"2011-06-02 18:56:10"
"cnt_4de7ddfb129a6";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"object occlusion and misinformation scores";"2011-06-02 19:01:15"
"cnt_4de7de54cdce7";"usr_4de5345b3b6a8";"trm_4c898b4b463aa";"accuracy";"2011-06-02 19:02:44"
"cnt_4de7e52cd0ad6";"usr_4de5345b3b6a8";"trm_4c898b8c2d071";"valid";"2011-06-02 19:31:56"
"cnt_4de7e54b3b8d8";"usr_4de5345b3b6a8";"trm_4c898b8c2d071";"invalid";"2011-06-02 19:32:27"
"cnt_4de90fe2177d0";"usr_4de5345b3b6a8";"tsk_4a57abb9499e3";"reaction time to correct stimuli";"2011-06-03 16:46:26"
"cnt_4de919cf2b2bd";"usr_4de5345b3b6a8";"tsk_4a57abb9499ff";"d&#39;";"2011-06-03 17:28:47"
"cnt_4de91cc952b43";"usr_4de5345b3b6a8";"trm_4d559d2703bae";"positive feedback";"2011-06-03 17:41:29"
"cnt_4de91ce5f279a";"usr_4de5345b3b6a8";"trm_4d559d2703bae";"negative feedback";"2011-06-03 17:41:57"
"cnt_4de929a613652";"usr_4de5345b3b6a8";"tsk_4a57abb949a25";"immediate memory copy";"2011-06-03 18:36:22"
"cnt_4de929f98367a";"usr_4de5345b3b6a8";"tsk_4a57abb949a25";"general memory copy";"2011-06-03 18:37:45"
"cnt_4de92b983089e";"usr_4de5345b3b6a8";"tsk_4a57abb949a25";"digit/symbol coding - symbol copy";"2011-06-03 18:44:40"
"cnt_4de93a6779688";"usr_4de5345b3b6a8";"trm_4c898bbab4fd4";"response time and accuracy";"2011-06-03 19:47:51"
"cnt_4de93d2864ae9";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"verbal recall (people test)";"2011-06-03 19:59:36"
"cnt_4de93ddadf379";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"visual recognition (doors test)";"2011-06-03 20:02:34"
"cnt_4de93e2a13bb5";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"visual recall (shapes test)";"2011-06-03 20:03:54"
"cnt_4de93e831c09d";"usr_4de5345b3b6a8";"tsk_4a57abb949a33";"verbal recognition (names test)";"2011-06-03 20:05:23"
"cnt_4de948beb7f3c";"usr_4de5345b3b6a8";"trm_4c898be57fcbc";"overall similarity to intended picture";"2011-06-03 20:49:02"
"cnt_4de95d2ff1462";"usr_4de5345b3b6a8";"trm_4c898a8fd3afb";"muscle control";"2011-06-03 22:16:15"
"cnt_4de95f0aa8476";"usr_4de5345b3b6a8";"trm_4c898c0786246";"amount consumed";"2011-06-03 22:24:10"
"cnt_4de963f853b03";"usr_4de5345b3b6a8";"tsk_4a57abb949a41";"sum of strength scores x sum of items per hand";"2011-06-03 22:45:12"
"cnt_4de968d88e3d3";"usr_4de5345b3b6a8";"trm_4c898c33ee5f8";"# items remembered with encoding task - number remembered without";"2011-06-03 23:06:00"
"cnt_4de96cd8c9aad";"usr_4de5345b3b6a8";"trm_4c898c8bf1b4f";"number of correct identifications";"2011-06-03 23:23:04"
"cnt_4decfedb91973";"usr_4de5345b3b6a8";"tsk_4a57abb949a4f";"congruent correct";"2011-06-06 16:22:51"
"cnt_4decff04d5cb5";"usr_4de5345b3b6a8";"tsk_4a57abb949a4f";"incongruent correct";"2011-06-06 16:23:32"
"cnt_4decff6567821";"usr_4de5345b3b6a8";"tsk_4a57abb949a4f";"incongruent response time minus congruent response time";"2011-06-06 16:25:09"
"cnt_4ded050f2e7f1";"usr_4de5345b3b6a8";"tsk_4a57abb949a5d";"average number of trials per pattern change";"2011-06-06 16:49:19"
"cnt_4ded127195273";"usr_4de5345b3b6a8";"tsk_4a57abb949a6a";"emotion detection";"2011-06-06 17:46:25"
